00-01-24	Acer Incorporated
74-E2-F5	Apple
00-0B-6A	Asiarock Incorporation
00-13-8F	Asiarock Incorporation
00-25-22	ASRock Incorporation
BC-5F-F4	ASRock Incorporation
30-D4-6A	Autosales Incorporated
00-03-15	Cidco Incorporated
00-30-35	Corning Incorporated
00-1A-62	Data Robotics, Incorporated
14-49-78	Digital Control Incorporated
00-1A-BB	Fontal Technology Incorporation
00-19-3C	HighPoint Technologies Incorporated
00-08-B7	HIT Incorporated
00-1B-AD	iControl Incorporated
00-0A-34	Identicard Systems Incorporated
00-22-39	Indiana Life Sciences Incorporated
00-0A-53	Intronics, Incorporated
00-08-1D	Ipsil, Incorporated
00-06-13	Kawasaki Microelectronics Incorporated
00-05-87	Locus, Incorporated
00-25-CC	Mobile Communications Korea Incorporated
00-12-55	NetEffect Incorporated
84-1B-5E	NETGEAR
50-25-2B	Nethra Imaging Incorporated
00-17-2F	NeuLion Incorporated
00-0E-FA	Optoway Technology Incorporation
00-60-9C	Perkin-Elmer Incorporated
00-50-69	PixStream Incorporated
8C-FD-F0	QUALCOMM Incorporated
00-09-35	Sandvine Incorporated
CC-3A-61	SAMSUNG ELECTRO MECHANICS CO., LTD.
00-11-32	Synology Incorporated
F8-46-2D	SYNTEC Incorporation
00-1B-AB	Telchemy, Incorporated
00-17-8B	Teledyne Technologies Incorporated
00-0C-7E	Tellium Incorporated
00-11-D9	TiVo
00-0F-37	Xambala Incorporated
00-0F-EE	XTec, Incorporated
